LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
FRA,AVWAGE,TOT,USD,A,2010,43749.4888,
FRA,AVWAGE,TOT,USD,A,2011,43681.75725,
FRA,AVWAGE,TOT,USD,A,2012,43975.1502,
FRA,AVWAGE,TOT,USD,A,2013,44345.13709,
FRA,AVWAGE,TOT,USD,A,2014,44650.85801,
FRA,AVWAGE,TOT,USD,A,2015,45087.62571,
FRA,AVWAGE,TOT,USD,A,2016,45610.18378,
FRA,AVWAGE,TOT,USD,A,2017,46162.80625,
FRA,AVWAGE,TOT,USD,A,2018,46256.36191,
FRA,AVWAGE,TOT,USD,A,2019,46480.6154,
DEU,AVWAGE,TOT,USD,A,1999,45055.95807,
DEU,AVWAGE,TOT,USD,A,2000,45309.74183,
DEU,AVWAGE,TOT,USD,A,2001,45655.0802,
DEU,AVWAGE,TOT,USD,A,2002,45929.54614,
DEU,AVWAGE,TOT,USD,A,2003,46082.95538,
DEU,AVWAGE,TOT,USD,A,2004,46084.60734,
DEU,AVWAGE,TOT,USD,A,2005,46275.41241,
DEU,AVWAGE,TOT,USD,A,2006,46266.43387,
DEU,AVWAGE,TOT,USD,A,2007,46137.94189,
DEU,AVWAGE,TOT,USD,A,2008,46353.97246,
DEU,AVWAGE,TOT,USD,A,2009,46365.28439,
DEU,AVWAGE,TOT,USD,A,2010,46772.23369,
DEU,AVWAGE,TOT,USD,A,2011,47738.9826,
DEU,AVWAGE,TOT,USD,A,2012,48391.85704,
DEU,AVWAGE,TOT,USD,A,2013,48862.17112,
DEU,AVWAGE,TOT,USD,A,2014,49700.10674,
DEU,AVWAGE,TOT,USD,A,2015,50878.09477,
DEU,AVWAGE,TOT,USD,A,2016,51622.98488,
DEU,AVWAGE,TOT,USD,A,2017,52181.30995,
DEU,AVWAGE,TOT,USD,A,2018,52929.5536,
DEU,AVWAGE,TOT,USD,A,2019,53637.8016,
GRC,AVWAGE,TOT,USD,A,1999,27436.97399,
GRC,AVWAGE,TOT,USD,A,2000,28157.79523,
GRC,AVWAGE,TOT,USD,A,2001,28843.37287,
GRC,AVWAGE,TOT,USD,A,2002,31415.72274,
GRC,AVWAGE,TOT,USD,A,2003,32744.12257,
GRC,AVWAGE,TOT,USD,A,2004,33437.67974,
GRC,AVWAGE,TOT,USD,A,2005,33384.72875,
GRC,AVWAGE,TOT,USD,A,2006,33742.1686,
GRC,AVWAGE,TOT,USD,A,2007,33807.53137,
GRC,AVWAGE,TOT,USD,A,2008,33292.18671,
GRC,AVWAGE,TOT,USD,A,2009,34735.85367,
GRC,AVWAGE,TOT,USD,A,2010,32581.73598,
GRC,AVWAGE,TOT,USD,A,2011,30397.62383,
GRC,AVWAGE,TOT,USD,A,2012,28971.90463,
GRC,AVWAGE,TOT,USD,A,2013,27099.74068,
GRC,AVWAGE,TOT,USD,A,2014,27574.19248,
GRC,AVWAGE,TOT,USD,A,2015,27448.75013,
GRC,AVWAGE,TOT,USD,A,2016,27394.53173,
